,idGrid,sizeSaved
0,5155,10
1,5156,10
2,5157,10
3,5158,10
4,5159,10
5,5160,10
6,5261,10
7,5262,10
8,5263,10
9,5264,10
10,5265,10
11,5052,10
12,5053,10
13,5054,10
14,5368,10
15,6218,10
16,6219,10
17,6220,10
18,6221,10
19,6222,10
20,6010,10
21,6326,10
22,6327,10
23,6114,10
24,6115,10
25,6116,10
26,6117,10
27,3465,10
28,3466,10
29,3467,10
30,3468,10
31,3676,10
32,3677,10
33,3678,10
34,3679,10
35,3570,10
36,3571,10
37,3572,10
38,3573,10
39,3574,10
40,4959,10
41,4960,10
42,4961,10
43,4962,10
44,4854,10
45,4855,10
46,4856,10
47,4857,10
48,5064,10
49,5065,10
50,5066,10
51,5067,10
52,3363,10
53,3364,10
54,3365,10
55,3468,10
56,3469,10
57,3470,10
58,3471,10
59,3678,10
60,3679,10
61,3680,10
62,3681,10
63,3784,10
64,3785,10
65,3786,10
66,3573,10
67,3574,10
68,3575,10
69,3576,10
70,2324,10
71,2325,10
72,2326,10
73,2327,10
74,2328,10
75,2429,10
76,2430,10
77,2431,10
78,2432,10
79,2433,10
80,2220,10
81,2223,10
82,2640,10
83,2641,10
84,2534,10
85,2535,10
86,2536,10
87,2537,10
88,3478,10
89,3479,10
90,3480,10
91,3584,10
92,3585,10
93,3897,10
94,3898,10
95,3899,10
96,3686,10
97,3687,10
98,3688,10
99,3689,10
100,3690,10
101,3792,10
102,3793,10
103,3794,10
104,3795,10
105,3581,10
106,3582,10
107,3583,10
108,2323,10
109,2324,10
110,2428,10
111,2429,10
112,2430,10
113,2848,10
114,2849,10
115,2850,10
116,2851,10
117,2638,10
118,2639,10
119,2640,10
120,2641,10
121,2742,10
122,2743,10
123,2744,10
124,2745,10
125,2746,10
126,2534,10
127,2535,10
128,2536,10
129,4110,10
130,4424,10
131,4425,10
132,4426,10
133,4427,10
134,4215,10
135,4216,10
136,4217,10
137,4319,10
138,4320,10
139,4321,10
140,4322,10
141,4635,10
142,4636,10
143,4637,10
144,4740,10
145,4741,10
146,4742,10
147,4530,10
148,4531,10
149,4532,10
150,4117,10
151,4118,10
152,4012,10
153,4013,10
154,3381,10
155,3382,10
156,3383,10
157,3486,10
158,3487,10
159,3488,10
160,3276,10
161,3277,10
162,3278,10
163,3591,10
164,3592,10
165,3593,10
166,3907,10
167,3908,10
168,3696,10
169,3697,10
170,3698,10
171,3801,10
172,3802,10
173,3803,10
174,3375,10
175,3376,10
176,3377,10
177,3378,10
178,3379,10
179,3166,10
180,3167,10
181,3168,10
182,3169,10
183,3170,10
184,3482,10
185,3483,10
186,3270,10
187,3271,10
188,3272,10
189,3273,10
190,3274,10
191,3275,10
192,3061,10
193,3062,10
194,3063,10
195,3064,10
196,4630,10
197,4942,10
198,4943,10
199,4944,10
200,4945,10
201,4946,10
202,4732,10
203,4733,10
204,4734,10
205,4735,10
206,4736,10
207,4837,10
208,4838,10
209,4839,10
210,4840,10
211,4841,10
212,5154,10
213,5155,10
214,5048,10
215,5049,10
216,5050,10
217,5051,10
218,4000,10
219,3471,10
220,3892,10
221,3893,10
222,3894,10
223,3895,10
224,3896,10
225,3681,10
226,3682,10
227,3683,10
228,3684,10
229,3685,10
230,3686,10
231,3787,10
232,3788,10
233,3789,10
234,3790,10
235,3791,10
236,3575,10
237,3576,10
238,3577,10
239,3578,10
240,3579,10
241,3580,10
242,4000,10
243,4105,10
244,4106,10
245,4107,10
246,4108,10
247,4210,10
248,4211,10
249,4212,10
250,4213,10
251,4001,10
252,4002,10
253,4003,10
254,3895,10
255,3896,10
256,3897,10
257,3685,10
258,3686,10
259,3687,10
260,3790,10
261,3791,10
262,3792,10
263,3581,10
264,3582,10
265,4427,10
266,4428,10
267,4429,10
268,4430,10
269,4218,10
270,4219,10
271,4322,10
272,4323,10
273,4324,10
274,4325,10
275,4637,10
276,4638,10
277,4639,10
278,4953,10
279,4954,10
280,4955,10
281,4742,10
282,4743,10
283,4744,10
284,4745,10
285,4532,10
286,4533,10
287,4534,10
288,4847,10
289,4848,10
290,4849,10
291,4850,10
292,5059,10
293,2840,10
294,2944,10
295,2945,10
296,3363,10
297,3364,10
298,3365,10
299,3366,10
300,3153,10
301,3154,10
302,3155,10
303,3156,10
304,3157,10
305,3158,10
306,3468,10
307,3469,10
308,3470,10
309,3471,10
310,3258,10
311,3259,10
312,3260,10
313,3261,10
314,3262,10
315,3263,10
316,3049,10
317,3050,10
318,3051,10
319,2840,10
320,2841,10
321,2842,10
322,2843,10
323,2945,10
324,2946,10
325,2947,10
326,2948,10
327,2737,10
328,2738,10
329,3368,10
330,3369,10
331,3156,10
332,3157,10
333,3158,10
334,3159,10
335,3160,10
336,3262,10
337,3263,10
338,3264,10
339,3265,10
340,3050,10
341,3051,10
342,3052,10
343,3053,10
344,4110,10
345,4111,10
346,4112,10
347,4113,10
348,4114,10
349,4115,10
350,4426,10
351,4427,10
352,4215,10
353,4216,10
354,4217,10
355,4218,10
356,4219,10
357,4220,10
358,4221,10
359,4005,10
360,4006,10
361,4007,10
362,4008,10
363,4320,10
364,4321,10
365,4322,10
366,4323,10
367,4324,10
368,4325,10
369,3901,10
370,3902,10
371,3366,10
372,3367,10
373,3368,10
374,3369,10
375,3370,10
376,3470,10
377,3471,10
378,3472,10
379,3473,10
380,3474,10
381,3475,10
382,3261,10
383,3262,10
384,3263,10
385,3264,10
386,3265,10
387,3682,10
388,3683,10
389,3684,10
390,3685,10
391,3576,10
392,3577,10
393,3578,10
394,3579,10
395,3580,10
396,3994,10
397,3995,10
398,3996,10
399,3997,10
400,4100,10
401,4101,10
402,4102,10
403,4416,10
404,4205,10
405,4206,10
406,4207,10
407,4208,10
408,4311,10
409,4312,10
410,4313,10
411,3889,10
412,3890,10
413,3891,10
414,3892,10
415,3784,10
416,3785,10
417,3786,10
418,4100,10
419,4414,10
420,4415,10
421,4416,10
422,4204,10
423,4205,10
424,4206,10
425,4308,10
426,4309,10
427,4310,10
428,4311,10
429,4312,10
430,4520,10
431,4632,10
432,4633,10
433,4634,10
434,4635,10
435,4636,10
436,4637,10
437,4945,10
438,4946,10
439,4947,10
440,4948,10
441,4949,10
442,4736,10
443,4737,10
444,4738,10
445,4739,10
446,4740,10
447,4741,10
448,4742,10
449,4841,10
450,4842,10
451,4843,10
452,4844,10
453,4845,10
454,4846,10
455,5155,10
456,5156,10
457,5050,10
458,5051,10
459,5052,10
460,5053,10
461,2849,10
462,2850,10
463,2851,10
464,2852,10
465,2853,10
466,2640,10
467,2641,10
468,2953,10
469,2954,10
470,2955,10
471,2956,10
472,2957,10
473,2958,10
474,2959,10
475,2745,10
476,2746,10
477,2747,10
478,2748,10
479,3164,10
480,3165,10
481,3166,10
482,3058,10
483,3059,10
484,3060,10
485,3061,10
486,3062,10
487,3063,10
488,3996,10
489,3997,10
490,3998,10
491,3999,10
492,4000,10
493,4101,10
494,4102,10
495,4103,10
496,4104,10
497,4105,10
498,4207,10
499,4208,10
500,4209,10
501,4210,10
502,4313,10
503,4314,10
504,3890,10
505,3891,10
506,3892,10
507,3893,10
508,3894,10
509,3895,10
510,3681,10
511,3682,10
512,3683,10
513,3785,10
514,3786,10
515,3787,10
516,3788,10
517,5160,10
518,5161,10
519,5471,10
520,5472,10
521,5473,10
522,5474,10
523,5475,10
524,5476,10
525,5477,10
526,5263,10
527,5264,10
528,5265,10
529,5266,10
530,5267,10
531,5366,10
532,5367,10
533,5368,10
534,5369,10
535,5370,10
536,5371,10
537,5372,10
538,5683,10
539,5684,10
540,5576,10
541,5577,10
542,5578,10
543,5579,10
544,5580,10
545,5581,10
546,5904,10
547,5905,10
548,5906,10
549,5907,10
550,5908,10
551,5693,10
552,5694,10
553,5695,10
554,5696,10
555,5697,10
556,5698,10
557,5798,10
558,5799,10
559,5800,10
560,5801,10
561,5802,10
562,5803,10
563,5804,10
564,5589,10
565,5590,10
566,6221,10
567,6222,10
568,6009,10
569,6010,10
570,6011,10
571,6012,10
572,6013,10
573,6115,10
574,6116,10
575,6117,10
576,6118,10
577,4107,10
578,4108,10
579,4109,10
580,4110,10
581,4424,10
582,4212,10
583,4213,10
584,4214,10
585,4215,10
